Feature Scenario,Testcase Title,TestcaseId,Testcase Criticality,Testcase Precondition,Testcase steps,Expected Result
In-Cloud AWS Cloud [Valid Inputs],Transitioning object from Tier_1 to Tier_99,DLM_TC_11,H,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Object is uploaded in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to STANDARD_IA storage class
5. Select backend as AWS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
,Transitioning object from Tier_1 to Tier_999,DLM_TC_12,H,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Object should be in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to GLACIER storage class
5. Select backend as AWS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
,Transitioning object from Tier_99 to Tier_999,DLM_TC_13,H,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Object located in STANDARD_IA storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD_IA to GLACIER storage class
5. Select backend as AWS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
In-Cloud Azure Cloud [Valid Inputs],Transitioning object from Tier_1 to Tier_99,DLM_TC_14,H,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using Azure backend
5. Object is uploaded in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to STANDARD_IA storage class
5. Select backend as Azure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
,Transitioning object from Tier_1 to Tier_999,DLM_TC_15,H,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using Azure backend
5. Object should be in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to GLACIER storage class
5. Select backend as Azure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
In-Cloud Huawei Cloud [Valid Inputs],Transitioning object from Tier_1 to Tier_99,DLM_TC_16,H,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using HUAWEI backend
5. Object is uploaded in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to STANDARD_IA storage class
5. Select backend as huawei backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
,Transitioning object from Tier_1 to Tier_999,DLM_TC_17,H,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using HUAWEI backend
5. Object should be in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to GLACIER storage class
5. Select backend as huawei backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
Cross-Cloud AWS to Azure Cloud [Valid Inputs],Transitioning object from Tier_1 to Tier_1,DLM_TC_18,H,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Object is uploaded in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to STANDARD storage class
5. Select backend as Azure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
,Transitioning object from Tier_1 to Tier_99,DLM_TC_19,H,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Object is uploaded in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to STANDARD_IA storage class
5. Select backend as Azure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
,Transitioning object from Tier_1 to Tier_999,DLM_TC_20,H,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Object is uploaded in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to GLACIER storage class
5. Select backend as Azure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
,Transitioning object from Tier_999 to Tier_999,DLM_TC_30,H,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Object is uploaded in GLACIER storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from GLACIER to GLACIER storage class
5. Select backend as AWS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
Cross-Cloud GCP to Azure Cloud [Valid Inputs],Transitioning object from Tier_1 to Tier_1,DLM_TC_21,,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using GCP backend
5. Object located in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to STANDARD storage class
5. Select backend as Azure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
,Transitioning object from Tier_1 to Tier_999,DLM_TC_22,,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using GCP backend
5. Object located in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from GLACIER to GLACIER storage class
5. Select backend as Azure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
Cross-Cloud GCP to Aws Cloud [Valid Inputs],Transitioning object from Tier_1 to Tier_1,DLM_TC_23,,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using GCP backend
5. Object located in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD  to STANDARD  storage class
5. Select backend as AWS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
,Transitioning object from Tier_1 to Tier_999,DLM_TC_24,,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using GCP backend
5. Object located in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to GLACIER storage class
5. Select backend as AWS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
Cross-Cloud AWS to Huawei Cloud [Valid Inputs],Transitioning object from Tier_1 to Tier_1,DLM_TC_25,H,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Object is uploaded in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to STANDARD  storage class
5. Select backend as huawei backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
,Transitioning object from Tier_1 to Tier_99,DLM_TC_26,H,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Object is uploaded in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to STANDARD_IA storage class
5. Select backend as huawei backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
Cross-Cloud Azure to AWS Cloud [Valid Inputs],Transitioning object from Tier_1 to Tier_1,DLM_TC_27,H,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using Azure backend
5. Object is uploaded in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to STANDARD  storage class
5. Select backend as AWS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
,Transitioning object from Tier_1 to Tier_99,DLM_TC_28,H,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using Azure backend
5. Object is uploaded in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to STANDARD_IA storage class
5. Select backend as AWS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
,Transitioning object from Tier_1 to Tier_999,DLM_TC_29,H,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using Azure backend
5. Object is uploaded in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to GLACIER storage class
5. Select backend as AWS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
,Transitioning object from Tier_999 to Tier_999,DLM_TC_30,H,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AZURE backend
5. Object is uploaded in GLACIER storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from GLACIER to GLACIER storage class
5. Select backend as AWS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
Cross-Cloud Huawei to Azure Cloud [Valid Inputs],Transitioning object from Tier_1 to Tier_1,DLM_TC_31,H,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using HUAWEI backend
5. Object is uploaded in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to STANDARD  storage class
5. Select backend as Azure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
,Transitioning object from Tier_1 to Tier_99,DLM_TC_32,H,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using HUAWEI backend
5. Object is uploaded in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to STANDARD_IA storage class
5. Select backend as Azure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
,Transitioning object from Tier_1 to Tier_999,DLM_TC_33,H,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using HUAWEI backend
5. Object is uploaded in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to GLACIER storage class
5. Select backend as Azxure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
Cross-Cloud Huawei to AWS Cloud [Valid Inputs],Transitioning object from Tier_1 to Tier_1,DLM_TC_34,H,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using HUAWEI backend
5. Object is uploaded in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to STANDARD storage class
5. Select backend as AWS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
,Transitioning object from Tier_1 to Tier_999,DLM_TC_35,H,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using HUAWEI backend
5. Object is uploaded in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to GLACIER storage class
5. Select backend as AWS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in Database
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket
4. Transition rule will take place after the specified number of days in the lifecycle rule
5. Check Source and Target Cloud providers to check the buckets
Note: For cross-cloud transition, there will be new bucket, with the same name that is of source bucket, will be created in target backend. The corresponding object/s will be moved accordingly


"
