Feature Scenario,Testcase Title,Testcase Id,Testcase Precondition,Testcase steps,Expected Result
Create Profile - Block - Replication Policy Enabled,Dashboard_TC_013,DB_TC_013,,"1. Same as Dashboard_TC_011. 
2. Select the Replication Policy checkbox.
3. Leave the default values as it is.
4. Click on OK.",The profile is created and the List profile is displayed with the newly created profile displayed as a card. The Replication policy is enabled and the button is visible on the card. On hover this displays the Replication policy values.
Create Profile - Block - Snapshot Policy Enabled,Dashboard_TC_014,DB_TC_014,,"1. Same as Dashboard_TC_011. 
2. Select the Snapshot Policy checkbox.
3. Leave the default values as it is.
4. Enter the bucket name.
5. Click on OK.",The profile is created and the List profile is displayed with the newly created profile displayed as a card. The bucketName is displayed.
Create Profile - File ,Dashboard_TC_015,DB_TC_015,,"1. Got to the Profiles Page.
2. Click on Create Profile.
3. Enter the Name and Description.
4. Select the Storage Type as File.
5. Leave all other fields as it is.
6. Click on OK.",The profile is created with the storage type set to file and the profile list is displayed with the newly created profile displayed as a card.
Create Profile - File - QoS Policy Enabled,Dashboard_TC_016,DB_TC_016,,"1. Same as Dashboard_TC_015. 
2. Select the QoS Policy checkbox.
3. Leave the default values as it is.
4. Click on OK.",The profile is created and the List profile is displayed with the newly created profile displayed as a card. The QoS policy is enabled and the button is visible on the card. On hover this displays the QoS policy values.
Create Profile - File - Replication Policy Enabled,Dashboard_TC_017,DB_TC_017,,"1. Same as Dashboard_TC_015. 
2. Select the Replication Policy checkbox.
3. Leave the default values as it is.
4. Click on OK.",The profile is created and the List profile is displayed with the newly created profile displayed as a card. The Replication policy is enabled and the button is visible on the card. On hover this displays the Replication policy values.
[Negative Testing]Create Profile - Block - Name Validations,Dashboard_TC_018,DB_TC_018,,"1. Got to the Profiles Page.
2. Click on Create Profile.
3. Enter the Name 
3a. Do not enter the name
3b. Enter Name with more than 255 characters.
3c. Enter Name with 255 characters.
3d. Enter Special characters other than underscore and hyphen.
4. Select the Storage Type as Block.
5. Leave all other fields as it is.
6. Click on OK.","The following scenarios are expected:
3a. Error in frontend. User is prompted to enter the name.
3b. Error in frontend. User is prompted to enter name less than 255 characters.
3c. Profile is created successfully. 
3d. Error in front end. User is prompted to enter valid profile name."
Modify Profile,Dashboard_TC_019,DB_TC_019,,"1. Go to the Profile list page.
2. On the profile card, click on the ellipsis (vertical three dots) menu.
3. Click on Modify.
4. In the window that appears change the name and description
5. Click on OK.",The name or description is successfully modified and the Profile list is refreshed.
Delete Profile,Dashboard_TC_020,DB_TC_020,,"1. Go to the Profile list page.
2. On the profile card, click on the ellipsis (vertical three dots) menu.
3. Click on Delete.
4. In the confirmation dialog that appears the name of the profile is shown. 
5. Click on Delete.",The card is deleted and the profile list page is refreshed.
Delete Profile - Profile with Dependent volumes,Dashboard_TC_021,DB_TC_021,,"1. Go to the Profile list page.
2. On the profile card, click on the ellipsis (vertical three dots) menu.
3. Click on Delete.
4. In the confirmation dialog that appears the name of the profile is shown. 
5. Click on Delete.",The card is not deleted and the user is shown an error notification with the dependent volumes ID.
AK/SK Management - List AK/SK,Dashboard_TC_022,DB_TC_022,,"1. Click on the down arrow menu in the side bar menu to the left.
2. Click on AK/SK Management",The AK/SK list page should open. If any AK/SK are added the list should be populated. Else No Records Found.
AK/SK Management - Add AK/SK,Dashboard_TC_023,DB_TC_023,,"1. Click on the down arrow menu in the side bar menu to the left.
2. Click on AK/SK Management
3. Click on Add Security Key button.
4. Click on Download in the window that opens.",A window with the Access Key is displayed. A button to download the key and another to close the window.
Delete AK/SK,Dashboard_TC_024,DB_TC_024,Dashboard_TC_021,"1. Click on the down arrow menu in the side bar menu to the left.
2. Click on AK/SK Management.
3. In the AK/SK table click on delete under the operation column.
4. In the confirmation window the AK is shown.
5. Click on Delete.",The AK/SK is deleted and the table is refreshed.
List all Buckets,Dashboard_TC_025,DB_TC_025,,"1. Click on the Resources link.
",The list buckets page is displayed. If no AK/SK has been created then a warning to create an AK/SK and link to the AK/SK management page is displayed. Else empty list of buckets is shown.
Create Bucket,Dashboard_TC_026,DB_TC_026,Dashboard_TC_005,"1. Click on the Resources link in the side bar menu.
2. Click on the Create Bucket button.
3. The Create Bucket dialog should open.
4. Enter the name
5. Select the backend type: AWS, Huawei OBS, Azure Blob Storage, Ceph S3, GCP Storage, FusionStorage Object, IBM COS or YIG.
6. Select the backend based on the type.
7. Click on OK.",The bucket is successfully created and the bucket list page is loaded. A success notification is displayed at the top right corner.
Create Bucket - With Encryption,Dashboard_TC_027,DB_TC_027,Dashboard_TC_005,"1. Click on the Resources link in the side bar menu.
2. Click on the Create Bucket button.
3. The Create Bucket dialog should open.
4. Enter the name
5. Select the backend type: AWS, Huawei OBS, Azure Blob Storage, Ceph S3, GCP Storage, FusionStorage Object, IBM COS or YIG.
6. Select the backend based on the type.
7. Enable the encyrption switch by clicking Yes for ""Enable Encryption"".
8. Select the encryption type SSE.
9. Click on OK.",The bucket is successfully created and the bucket list page is loaded. A success notification is displayed at the top right corner. The Encryption Enabled column is populated with YES and AES256 label is applied.
Create Bucket - With Versioning,Dashboard_TC_028,DB_TC_028,,NA,
Delete Bucket,Dashboard_TC_029,DB_TC_029,,"1. Go to Resource -> Buckets
2. Click on the More menu in the bucket list.
3. Click on Delete.
4. Click ok in the confirmation box.",Bucket is deleted successfully and Bucket list is displayed
Search All Buckets,Dashboard_TC_030,DB_TC_030,,"1. Go to Resource -> Bucket
2. In the search box above the table search for the name or part of the name of the bucket",All buckets which have the search string are populated in the table.
Enable Bucket Versioning,Dashboard_TC_031,DB_TC_031,,NA,
Suspend Bucket Versioning,Dashboard_TC_032,DB_TC_032,,NA,
Migrate Bucket,Dashboard_TC_033,DB_TC_033,,"1. Create a bucket migrate-test in AWS backend.
2. Create another bucket  migrate-dest-test in OBS or Azure (any other cloud) backend
3. Upload a file to the migrate-test.
4. In the bucket list click on Migrate.
5. Give the migration a name, and select migrate-dest-test as the destination.
6. Keep the Run immediately checkbox checked.
7. Click on OK. 
8. To check progress and whether migration was successful go to Dataflow menu.
9. Expand to view the details of the migration.
10. Go back Bucket list and check the details of the migrate-dest-test bucket. 
11. The files from the migrate-test bucket should be there.
12. Login to the cloud console and verify",The contents of migrate-test bucket are successfully migrated to migrate-dest-test
Migrate Bucket - SSE to Non-SSE bucket,Dashboard_TC_034,DB_TC_034,,,
Migrate Bucket - Non-SSE to SSE bucket,Dashboard_TC_035,DB_TC_035,,,
Show Bucket Details / List Objects,Dashboard_TC_036,DB_TC_036,,"1. Go to bucket list
2. Click on the bucket name.
",The bucket details and objects are shown.
Search Objects,Dashboard_TC_037,DB_TC_037,,"1. Go to Resource -> Bucket
2. Click on a bucket name.
3. In the search box above the object list table search for the name or part of the name of the object",All objects which have the search string are populated in the table.
Upload Object (Single chunk),Dashboard_TC_038,DB_TC_038,,"1. Create a bucket upload-test in AWS backend. 
2. Click on the bucket name in the list.
3.Click on upload objet button above the table.
4. Select the file with size < 5MB",Object is uploaded successfully.
Upload Object (Multipart),Dashboard_TC_039,DB_TC_039,,"1. Create a bucket upload-test in AWS backend. 
2. Click on the bucket name in the list.
3.Click on upload objet button above the table.
4. Select the file with size > 5MB < 200 MB",Object is uploaded successfully.
Upload Object (Multipart Large file),Dashboard_TC_040,DB_TC_040,,"1. Create a bucket upload-test in AWS backend. 
2. Click on the bucket name in the list.
3.Click on upload objet button above the table.
4. Select the file with size > 200 MB < 2GB",Object is uploaded successfully.
Create Folder inside bucket,Dashboard_TC_041,DB_TC_041,,"1. Create a bucket in AWS backend.
2. Click on the name of the bucket.
3. Click on the Create Folder button in the bucket details page, above the table.
4. Enter the folder name and click ok.",Folder is created successfully and displayed as part of the bucket details.
Upload Object to Folder,Dashboard_TC_042,DB_TC_042,,"""1. Create a bucket in AWS backend.
2. Click on the name of the bucket.
3. Click on the Create Folder button in the bucket details page, above the table.
4. Enter the folder name and click ok.
5. Run the steps of TC_036, TC_37 and TC_38",The object is uploaded succesfully and displayed in the bucket details
Delete Object,Dashboard_TC_043,DB_TC_043,,"""1. Go to Resource -> Buckets -> Bucket details
2. In the object list Click on Delete. 
3. Click delete in the confirmation box.""",Object is deleted successfully
Bulk Delete Objects,Dashboard_TC_044,DB_TC_044,,"""1. Go to Resource -> Buckets -> Bucket details
2. In the object list table click on the checkbox next to object name. Click on more than one or click on the select all checkbox in the table header
3. Click on Delete. 
4. Click ok in the confirmation box.""",All the selected objects are deleted.
Delete Folder,Dashboard_TC_045,DB_TC_045,,"""1. Create a bucket in AWS backend.
2. Click on the name of the bucket.
3. Click on the Create Folder button in the bucket details page, above the table.
4. Enter the folder name and click ok.
5. In the list click on the delete button under operations
6. Click delete in the confirmation window",The folder is deleted successfully
Delete Folder with object inside,Dashboard_TC_046,DB_TC_046,,"1. Create a bucket in AWS backend.
2. Click on the name of the bucket.
3. Click on the Create Folder button in the bucket details page, above the table.
4. Enter the folder name and click ok. 
5. Click on the folder and upload an object.
6. Go back one level.
7. In the list click on the delete button under operations
8. Click delete in the confirmation window",The link to delete should be disabled if there is an object.
Download Object,Dashboard_TC_047,DB_TC_047,,"""1. Go to Resource -> Buckets -> Bucket details
2. In the object list Click on Download. 
3. The browser will prompt to save the file to local disk.
4. Select the location and save the object.",The object is downloaded successfully and opens correctly.
Delete Object inside Folder,Dashboard_TC_048,DB_TC_048,,"""1. Go to Resource -> Buckets -> Bucket details
2. In the object list click on the folder name.
3. Inside the folder on any object Click on Delete. 
3. Click delete in the confirmation box.""",The object is deleted successfully
Download Object inside folder,Dashboard_TC_049,DB_TC_049,,"1. Go to Resource -> Buckets -> Bucket details
2. In the object list click on the folder name.
3. Inside the folder on any object Click on Download. 
4. The browser will prompt to save the file to local disk.
5. Select the location and save the object.",The object is downloaded successfully and opens correctly.
Copy / Paste Object,Dashboard_TC_050,DB_TC_050,,,
List All Object Lifecycle Rules,Dashboard_TC_051,DB_TC_051,,"All Lifecycle Testcases can be found here:
https://drive.google.com/file/d/1PuOvpdE2GpXCTVrD8m-4wOFENa_xlME5/view?usp=sharing",
Search Object Lifecycle Rules,Dashboard_TC_052,DB_TC_052,,,
View Object ACL,Dashboard_TC_053,DB_TC_053,,,
Modify Object ACL,Dashboard_TC_054,DB_TC_054,,,
Create Lifecyle Rule,Dashboard_TC_055,DB_TC_055,,,
Create Lifecyle Rule with Storage Class Transition,Dashboard_TC_056,DB_TC_056,,,
Create Lifecyle Rule with configure expiration,Dashboard_TC_057,DB_TC_057,,,
Create Lifecyle Rule with Clean Up finishing staging uploads,Dashboard_TC_058,DB_TC_058,,,
Modify/Edit Lifecyle Rule,Dashboard_TC_059,DB_TC_059,,,
Enable Lifecyle Rule,Dashboard_TC_060,DB_TC_060,,,
Delete Lifecyle Rule,Dashboard_TC_061,DB_TC_061,,,
Bulk Delete Lifecyle Rules,Dashboard_TC_062,DB_TC_062,,,
List All Volumes,Dashboard_TC_063,DB_TC_063,,"1. Go to Resource -> Volume Tab
2. ",The list of volumes should be shown or No Data should be displayed
Search Volumes,Dashboard_TC_064,DB_TC_064,,"1. Go to Resource -> Volume
2. In the search box above the table search for the name or part of the name of the volume",All volumes which have the search string are populated in the table.
Create Volume,Dashboard_TC_065,DB_TC_065,,"1. Go to Resource -> Volume
2. Click on the Create button.
3. Select the availabilty zone, enter name and select profile.
4. Select  the capacity in GB or TB
5. Click OK",Volume is created and dsiplayed in the Volume list table.
Modify Volume,Dashboard_TC_066,DB_TC_066,,"1. Go to Resource -> Volume
2. In the table click on the more link under operations for any volume.
3. Click on Modify.
4. In the dialog window enter a new name for the volume.
5. Click on Ok",Volume name is updated displayed in the volume table.
Expand Volume,Dashboard_TC_067,DB_TC_067,,,
Delete Volume,Dashboard_TC_068,DB_TC_068,,,
Bulk Delete Volume,Dashboard_TC_069,DB_TC_069,,,
Attach Host to Volume,Dashboard_TC_070,DB_TC_070,,,
Detach Host from Volume,Dashboard_TC_071,DB_TC_071,,,
Create Volume Snapshot,Dashboard_TC_072,DB_TC_072,,,
Create Volume Replication,Dashboard_TC_073,DB_TC_073,,,
View Single Volume Details,Dashboard_TC_074,DB_TC_074,,,
View Single Volume Details - Snapshots,Dashboard_TC_075,DB_TC_075,,,
View Single Volume Details - Replications,Dashboard_TC_076,DB_TC_076,,,
View Single Volume Details - Attached Hosts,Dashboard_TC_077,DB_TC_077,,,
List All Volume Groups,Dashboard_TC_078,DB_TC_078,,,
Search All Volume Groups,Dashboard_TC_079,DB_TC_079,,,
Create Volume Group,Dashboard_TC_080,DB_TC_080,,,
Modify Volume Group,Dashboard_TC_081,DB_TC_081,,,
Delete Volume Group,Dashboard_TC_082,DB_TC_082,,,
Bulk Delete Volume Groups,Dashboard_TC_083,DB_TC_083,,,
View Volume Group Details,Dashboard_TC_084,DB_TC_084,,,
Volume Group Details - Add Volume,Dashboard_TC_085,DB_TC_085,,,
List all Fileshares,Dashboard_TC_086,DB_TC_086,,,
Search All File Shares,Dashboard_TC_087,DB_TC_087,,,
Create Fileshare,Dashboard_TC_088,DB_TC_088,,,
Modify Fileshare,Dashboard_TC_089,DB_TC_089,,,
Delete Fileshare,Dashboard_TC_090,DB_TC_090,,,
Bulk Delete Fileshare,Dashboard_TC_091,DB_TC_091,,,
Create Filehshare Snapshot,Dashboard_TC_092,DB_TC_092,,,
Create Fileshare Access,Dashboard_TC_093,DB_TC_093,,,
Show Fileshare Details,Dashboard_TC_094,DB_TC_094,,,
Show Fileshare Details - List Snapshots,Dashboard_TC_095,DB_TC_095,,,
Show Fileshare Details - List Snapshots - Search Snapshots,Dashboard_TC_096,DB_TC_096,,,
Show Fileshare Details - Snapshots tab - Create Snapshot,Dashboard_TC_097,DB_TC_097,,,
Show Fileshare Details - Snapshots tab - Delete Snapshot,Dashboard_TC_098,DB_TC_098,,,
Show Fileshare Details - Snapshots tab - Modify Snapshot,Dashboard_TC_099,DB_TC_099,,,
Show Fileshare Details - Snapshots tab - Create Fileshare,Dashboard_TC_100,DB_TC_100,,,
Show Fileshare Details - List Accesses,Dashboard_TC_101,DB_TC_101,,,
Show Fileshare Details - List Accesses - Search Accesses,Dashboard_TC_102,DB_TC_102,,,
Show Fileshare Details -  Accesses Tab - Create Access,Dashboard_TC_103,DB_TC_103,,,
Show Fileshare Details -  Accesses Tab - Delete Access,Dashboard_TC_104,DB_TC_104,,,
List All Migrations,Dashboard_TC_105,DB_TC_105,,,
List All Hosts,Dashboard_TC_106,DB_TC_106,,,
Search All Hosts,Dashboard_TC_107,DB_TC_107,,,
Create Host,Dashboard_TC_108,DB_TC_108,,,
Expand Host Details in List,Dashboard_TC_109,DB_TC_109,,,
Show Host Details,Dashboard_TC_110,DB_TC_110,,,
Modify Host,Dashboard_TC_111,DB_TC_111,,,
Delete Host,Dashboard_TC_112,DB_TC_112,,,
Bulk Delete Hosts,Dashboard_TC_113,DB_TC_113,,,
Search Migrations,Dashboard_TC_114,DB_TC_114,,,
Create Migration - Immediately,Dashboard_TC_115,DB_TC_115,,,
Create Migration - Execution Time,Dashboard_TC_116,DB_TC_116,,,
Create Migration - Delete Source,Dashboard_TC_117,DB_TC_117,,,
Delete Migration,Dashboard_TC_118,DB_TC_118,,,
Execute Migration,Dashboard_TC_119,DB_TC_119,,,
Monitor - List Services,Dashboard_TC_120,DB_TC_120,Telemetry service is selected and installed,,
Monitor - Configuration,Dashboard_TC_121,DB_TC_121,Telemetry service is selected and installed,,
Monitor Configuration - Upload Config,Dashboard_TC_122,DB_TC_122,Telemetry service is selected and installed,,
Monitor Configuration - Download Config,Dashboard_TC_123,DB_TC_123,Telemetry service is selected and installed,,
Orchestration Services - List Services in Catalog,Dashboard_TC_124,DB_TC_124,Orchestration service is selected and installed at time of installation.,,
Orchestration - Provision Volume Service,Dashboard_TC_125,DB_TC_125,Orchestration service is selected and installed at time of installation.,,
Orchestration - Provision Volume - Create Instance,Dashboard_TC_126,DB_TC_126,Orchestration service is selected and installed at time of installation.,,
Orchestration - Provision Volume - List All Instances,Dashboard_TC_127,DB_TC_127,Orchestration service is selected and installed at time of installation.,,
Orchestration - Provision Volume - Instance List - Search,Dashboard_TC_128,DB_TC_128,Orchestration service is selected and installed at time of installation.,,
Infrastructure - Block - Storage Tab - List All Storage,Dashboard_TC_129,DB_TC_129,,,
Infrastructure - Block - Storage Tab - Search All Storage,Dashboard_TC_130,DB_TC_130,,,
Infrastructure - Block - Region Tab - List All Regions,Dashboard_TC_131,DB_TC_131,,,
Infrastructure - Block - Availability Zone Tab - List All Availability Zones,Dashboard_TC_132,DB_TC_132,,,
Infrastructure - Object - List All Objects,Dashboard_TC_133,DB_TC_133,,,
Infrastructure - File - Storage Tab - List All Storage,Dashboard_TC_134,DB_TC_134,,,
Infrastructure - File - Storage Tab - Search All Storage,Dashboard_TC_135,DB_TC_135,,,
Infrastructure - File - Availability Zone Tab - List All Availability Zones,Dashboard_TC_136,DB_TC_136,,,
Identity - List All Tenants,Dashboard_TC_137,DB_TC_137,,,
Identity - Search All Tenants,Dashboard_TC_138,DB_TC_138,,,
Identity - Create Tenant,Dashboard_TC_139,DB_TC_139,,,
Identity - Modify Tenant,Dashboard_TC_140,DB_TC_140,,,
Identity - Delete Tenant,Dashboard_TC_141,DB_TC_141,,,
Identity - Bulk Delete Tenants,Dashboard_TC_142,DB_TC_142,,,
Identity - Expand to show tenant details in List,Dashboard_TC_143,DB_TC_143,,,
Identity - List All Users,Dashboard_TC_144,DB_TC_144,,,
Identity - Search All Users,Dashboard_TC_145,DB_TC_145,,,
Identity - Create User,Dashboard_TC_146,DB_TC_146,,,
Identity - Modify User,Dashboard_TC_147,DB_TC_147,,,
Identity - Disable User,Dashboard_TC_148,DB_TC_148,,,
Identity - Delete User,Dashboard_TC_149,DB_TC_149,,,
Identity - Bulk Delete Users,Dashboard_TC_150,DB_TC_150,,,
Identity - Expand to show user details in List,Dashboard_TC_151,DB_TC_151,,,
User - Switch Region,Dashboard_TC_152,DB_TC_152,,,
User Logout,Dashboard_TC_153,DB_TC_153,,,
"All Dashboard testing when one of the components is down. for ex: Dock, multi-cloud API server, multi-cloud S3 server, Delfin",Dashboard_TC_154,DB_TC_154,,,
File Share - Cloud - List All,Dashboard_TC_155,DB_TC_155,,,
File Share - Cloud - Create AWS File share,Dashboard_TC_156,DB_TC_156,,,
File Share - Cloud - Create Encrypted AWS File share,Dashboard_TC_157,DB_TC_157,,,
File Share - Cloud - Modify AWS File share,Dashboard_TC_158,DB_TC_158,,,
File Share - Cloud - Expand AWS File share details,Dashboard_TC_159,DB_TC_159,,,
File Share - Cloud - Create Azure File share,Dashboard_TC_160,DB_TC_160,,,
File Share - Cloud - Modify Azure File share,Dashboard_TC_161,DB_TC_161,,,
File Share - Cloud - Expand Azure File share details,Dashboard_TC_162,DB_TC_162,,,
File Share - Cloud - Create GCP File share,Dashboard_TC_163,DB_TC_163,,,
File Share - Cloud - Modify GCP File share,Dashboard_TC_164,DB_TC_164,,,
File Share - Cloud - Expand GCP File share details,Dashboard_TC_165,DB_TC_165,,,
File Share - Cloud - Delete Single File share,Dashboard_TC_166,DB_TC_166,,,
File Share - Cloud - Delete Multiple File shares,Dashboard_TC_167,DB_TC_167,,,
Volume - Cloud - List All Volumes,Dashboard_TC_168,DB_TC_168,,,
Volume - Cloud - Create AWS Volume- - General Purpose,Dashboard_TC_169,DB_TC_169,,,
Volume - Cloud - Create AWS Volume- - Provisioned IOPS,Dashboard_TC_170,DB_TC_170,,,
Volume - Cloud - Create AWS Volume- - Cold HDD,Dashboard_TC_171,DB_TC_171,,,
Volume - Cloud - Create AWS Volume- - Throughput Optimized,Dashboard_TC_172,DB_TC_172,,,
Volume - Cloud - Create AWS Volume- Magnetic,Dashboard_TC_173,DB_TC_173,,,
Volume - Cloud - Create AWS Volume- -Encryption Enabled,Dashboard_TC_174,DB_TC_174,,,
Volume - Cloud - Modify AWS Volume - General Purpose,Dashboard_TC_175,DB_TC_175,,,
Volume - Cloud - Modify AWS Volume - Provisioned IOPS,Dashboard_TC_176,DB_TC_176,,,
Volume - Cloud - Modify AWS Volume - Cold HDD,Dashboard_TC_177,DB_TC_177,,,
Volume - Cloud - Modify AWS Volume - Throughput Optimized,Dashboard_TC_178,DB_TC_178,,,
Volume - Cloud - Modify AWS Volume -Magnetic,Dashboard_TC_179,DB_TC_179,,,
Volume - Cloud - Delete single volume,Dashboard_TC_180,DB_TC_180,,,
Volume - Cloud - Delete multiple volumes,Dashboard_TC_181,DB_TC_181,,,
Delfin Storage Summary page - Click on list View icon to view table view,Dashboard_TC_188,DB_TC_182,,,
Delfin Storage Summary page - Click on grid View icon to view grid view,Dashboard_TC_189,DB_TC_183,,,
Delfin Storage Summary page - Click on refresh to refresh all lists,Dashboard_TC_190,DB_TC_184,,,
Delfin Storage Summary page - Click on Sync All Devices to trigger sync,Dashboard_TC_191,DB_TC_185,,,
Delfin - Register Storage - Dell EMC/VMAX,Dashboard_TC_192,DB_TC_186,,,
Delfin - Register Storage -Huawei/OceanStor V3,Dashboard_TC_193,DB_TC_187,,,
Delfin - Register Storage - HPE / 3PAR,Dashboard_TC_194,DB_TC_188,,,
Delfin - Register Storage - Cancel,Dashboard_TC_195,DB_TC_189,,,
Delfin - Register Storage - Reset,Dashboard_TC_196,DB_TC_190,,,
Delfin - Register Storage - Incorrect Values,Dashboard_TC_197,DB_TC_191,,,
"Delfin - Storage Summary - Tree Widget - Empty list show ""No Records""",Dashboard_TC_198,DB_TC_192,,,
Delfin - Storage Summary - Tree Widget - Load all storage arrays by vendors and models.,Dashboard_TC_199,DB_TC_193,,,
Delfin - Storage Summary Tree view - Hover on Model for overview,Dashboard_TC_200,DB_TC_194,,,
Delfin - Storage Summary Tree view - Hover on Device for overview,Dashboard_TC_201,DB_TC_195,,,
Delfin - Storage Summary Tree view - Right click on Device Node to view context menu,Dashboard_TC_202,DB_TC_196,,,
Delfin - Storage Summary Tree view - Device Node Context Menu - Update Access Info,Dashboard_TC_203,DB_TC_197,,,
Delfin - Storage Summary Tree view -  - Device Node Context Menu - Configure Alert Source,Dashboard_TC_204,DB_TC_198,,,
Delfin - Storage Summary Tree view -  - Device Node Context Menu - Remove Alert source,Dashboard_TC_205,DB_TC_199,,,
Delfin - Storage Summary Tree view -  - Device Node Context Menu - Sync Storage Device,Dashboard_TC_206,DB_TC_200,,,
Delfin - Storage Summary Tree view -  - Device Node Context Menu - Delete,Dashboard_TC_207,DB_TC_201,,,
Delfin - Storage Summary Tree view - Expand Device to see volumes and Pools,Dashboard_TC_208,DB_TC_202,,,
Delfin - Storage Summary Tree view - Hover on Volumes Group Node for overview,Dashboard_TC_209,DB_TC_203,,,
Delfin - Storage Summary Tree view - Hover on Storage Pools Group Node for overview,Dashboard_TC_210,DB_TC_204,,,
Delfin - Storage Summary Tree view - Expand Volumes group to view volume nodes,Dashboard_TC_211,DB_TC_205,,,
Delfin - Storage Summary Tree view - Hover on volume node for overview,Dashboard_TC_212,DB_TC_206,,,
Delfin - Storage Summary Tree view - Expand Storage Pools group to view volume nodes,Dashboard_TC_213,DB_TC_207,,,
Delfin - Storage Summary Tree view - Hover on storage pool node for overview,Dashboard_TC_214,DB_TC_208,,,
Delfin - Storage Summary Tree view - Show all devices to show list view,Dashboard_TC_215,DB_TC_209,,,
Delfin - Storage Summary - Active Alerts widget - No records found when no devices registered,Dashboard_TC_216,DB_TC_210,,,
Delfin - Storage Summary Tree view -  - Device Node - Click to view Details,Dashboard_TC_217,DB_TC_211,,,
Delfin - Array Usable Capacity Summary - List devices by capacity - No records found,Dashboard_TC_218,DB_TC_212,,,
Delfin - Array Usable Capacity Summary - List devices by usable capacity,Dashboard_TC_219,DB_TC_213,,,
Delfin - Array Usable Capacity Summary - Click on Array name to view details,Dashboard_TC_220,DB_TC_214,,,
