Testcase Title,TestcaseId,Testcase Precondition,Testcase steps,Expected Result
CREATE BUCKET,CREATE_BUCKET_HOBS,OSDS build is installed,"1. Add a HOBS backend, giving valid inputs for region, endpoint, bucket (""b""), AK-SK
2. Now, call Create bucket, with bucket name b1, no encryption, no versioning, on the HOBS backend
3. Call List buckets for the HOBS backend","1. Create bucket should return 200 OK
2. Login to the cloud backend console (using the backend cloud credentials), in the bucket ""b"", there should be a folder ""b1""
3. call to List buckets, must return the bucket b1"
CREATE BUCKET,CREATE_BUCKET_YIGCEPH,OSDS build is installed,"1. Add a YIGCEPH backend, giving valid inputs for region, endpoint, bucket (""b""), AK-SK
2. Now, call Create bucket, with bucket name b1, no encryption, no versioning, on the YIGCEPH backend
3. Call List buckets for the YIGCEPH backend","1. Create bucket should return 200 OK
2. Login to the cloud backend console (using the backend cloud credentials), in the bucket ""b"", there should be a folder ""b1""
3. call to List buckets, must return the bucket b1"
DELETE BUCKET,DELETE_BUCKET_AWS,OSDS build is installed,"1. Add the backend (with existing bucket)
2. create a bucket b1 from OSDS
3. upload an object o1, to b1
4. check the object o1 in the cloud backend
5. delete the object o1
6. check the list of buckets in OSDS
7. check contents of existing bucket in cloud backend
8. delete bucket b1 from OSDS
9. check the list of buckets in OSDS
","1. the folder b1 is created in the existing bucket on the cloud backend, when the object o1 is uploaded
2. the folder b1 is deleted in the existing bucket on the cloud backend, when the object o1 is deleted
3. the OSDS bucket b1 remains and is shown (only in OSDS) till it is deleted"
DELETE BUCKET,DELETE_BUCKET_GCP,OSDS build is installed,"1. Add the backend (with existing bucket)
2. create a bucket b1 from OSDS
3. upload an object o1, to b1
4. check the object o1 in the cloud backend
5. delete the object o1
6. check the list of buckets in OSDS
7. check contents of existing bucket in cloud backend
8. delete bucket b1 from OSDS
9. check the list of buckets in OSDS
","1. the folder b1 is created in the existing bucket on the cloud backend, when the object o1 is uploaded
2. the folder b1 is deleted in the existing bucket on the cloud backend, when the object o1 is deleted
3. the OSDS bucket b1 remains and is shown (only in OSDS) till it is deleted"
DELETE BUCKET,DELETE_BUCKET_AZURE,OSDS build is installed,"1. Add the backend (with existing bucket)
2. create a bucket b1 from OSDS
3. upload an object o1, to b1
4. check the object o1 in the cloud backend
5. delete the object o1
6. check the list of buckets in OSDS
7. check contents of existing bucket in cloud backend
8. delete bucket b1 from OSDS
9. check the list of buckets in OSDS
","1. the folder b1 is created in the existing bucket on the cloud backend, when the object o1 is uploaded
2. the folder b1 is deleted in the existing bucket on the cloud backend, when the object o1 is deleted
3. the OSDS bucket b1 remains and is shown (only in OSDS) till it is deleted"
DELETE BUCKET,DELETE_BUCKET_HOBS,OSDS build is installed,"1. Add the backend (with existing bucket)
2. create a bucket b1 from OSDS
3. upload an object o1, to b1
4. check the object o1 in the cloud backend
5. delete the object o1
6. check the list of buckets in OSDS
7. check contents of existing bucket in cloud backend
8. delete bucket b1 from OSDS
9. check the list of buckets in OSDS
","1. the folder b1 is created in the existing bucket on the cloud backend, when the object o1 is uploaded
2. the folder b1 is deleted in the existing bucket on the cloud backend, when the object o1 is deleted
3. the OSDS bucket b1 remains and is shown (only in OSDS) till it is deleted"
DELETE BUCKET,DELETE_BUCKET_YIGCEPH,OSDS build is installed,"1. Add the backend (with existing bucket)
2. create a bucket b1 from OSDS
3. upload an object o1, to b1
4. check the object o1 in the cloud backend
5. delete the object o1
6. check the list of buckets in OSDS
7. check contents of existing bucket in cloud backend
8. delete bucket b1 from OSDS
9. check the list of buckets in OSDS
","1. the folder b1 is created in the existing bucket on the cloud backend, when the object o1 is uploaded
2. the folder b1 is deleted in the existing bucket on the cloud backend, when the object o1 is deleted
3. the OSDS bucket b1 remains and is shown (only in OSDS) till it is deleted"
LIFECYCLE_TRANSITION,LIFECYCLE_TRANSITION_SMALL_OBJ_AWS_INCLOUD,"1. OSDS build is installed
2. A bucket using AWS S3 as it's default backend is created.
3. An object <= 5MB is uploaded to the bucket with tier as tier_1.","""1. Choose the bucket and click on Lifecyle Menu
2. Enter Rule Name 
3. Select Transition Rule 
4. Choose transition to GLACIER after 30 days, but without backend selected.
5. Click OK Button.
6. Update lastmodifiedtime of the object to be 30 or more days back
7. Update docker-compose.yml to set LIFECYCLE_CRON_CONFIG to be 0 2/* * * * ?, and restart dataflow.
8. Wait at least 2 minutes and check.""","1. After step 5, browser response: 200OK
2. Dashboard Lists the newly created Configuration showing transition rule
3. After step 8, check on OSDS dashboard, tier of the object should be Tier_999
4. Check on AWS console, storage class of the object should be GLACIER."
LIFECYCLE_TRANSITION,LIFECYCLE_TRANSITION_BIG_OBJ_AWS_INCLOUD,"1. OSDS build is installed
2. A bucket using AWS S3 as it's default backend is created.
3. An object > 5MB is uploaded to the bucket with tier as tier_1.","""1. Choose the bucket and click on Lifecyle Menu
2. Enter Rule Name 
3. Select Transition Rule 
4. Choose transition to STANDARD_IA after 30 days, but without backend selected.
5. Click OK Button.
6. Update lastmodifiedtime of the object to be 30 or more days back
7. Update docker-compose.yml to set LIFECYCLE_CRON_CONFIG to be 0 2/* * * * ?, and restart dataflow.
8. Wait at least 2 minutes and check.""","1. After step 5, browser response: 200OK
2. Dashboard Lists the newly created Configuration showing transition rule
3. After step 8, check on OSDS dashboard, tier of the object should be Tier_99
4. Check on AWS console, storage class of the object should be STANDARD_IA."
LIFECYCLE_TRANSITION,LIFECYCLE_TRANSITION_SMALL_OBJ_AZURE_INCLOUD,"1. OSDS build is installed
2. A bucket using Azure Blob as it's default backend is created.
3. An object <= 5MB is uploaded to the bucket with tier as tier_1.","""1. Choose the bucket and click on Lifecyle Menu
2. Enter Rule Name 
3. Select Transition Rule 
4. Choose transition to GLACIER after 30 days, but without backend selected.
5. Click OK Button.
6. Update lastmodifiedtime of the object to be 30 or more days back
7. Update docker-compose.yml to set LIFECYCLE_CRON_CONFIG to be 0 2/* * * * ?, and restart dataflow.
8. Wait at least 2 minutes and check.""","1. After step 5, browser response: 200OK
2. Dashboard Lists the newly created Configuration showing transition rule
3. After step 8, check on OSDS dashboard, tier of the object should be Tier_999
4. Check on Azure console, storage class of the object should be Archive."
LIFECYCLE_TRANSITION,LIFECYCLE_TRANSITION_BIG_OBJ_AZURE_INCLOUD,"1. OSDS build is installed
2. A bucket using Azure Blob as it's default backend is created.
3. An object > 5MB is uploaded to the bucket with tier as tier_1.","""1. Choose the bucket and click on Lifecyle Menu
2. Enter Rule Name 
3. Select Transition Rule 
4. Choose transition to STANDARD_IA after 30 days, but without backend selected.
5. Click OK Button.
6. Update lastmodifiedtime of the object to be 30 or more days back
7. Update docker-compose.yml to set LIFECYCLE_CRON_CONFIG to be 0 2/* * * * ?, and restart dataflow.
8. Wait at least 2 minutes and check.""","1. After step 5, browser response: 200OK
2. Dashboard Lists the newly created Configuration showing transition rule
3. After step 8, check on OSDS dashboard, tier of the object should be Tier_99
4. Check on AWS console, storage class of the object should be Cool."
LIFECYCLE_TRANSITION,LIFECYCLE_TRANSITION_SMALL_OBJ_OBS_INCLOUD,"1. OSDS build is installed
2. A bucket using Huawei OBS as it's default backend is created.
3. An object <= 5MB is uploaded to the bucket with tier as tier_1.","""1. Choose the bucket and click on Lifecyle Menu
2. Enter Rule Name 
3. Select Transition Rule 
4. Choose transition to GLACIER after 30 days, but without backend selected.
5. Click OK Button.
6. Update lastmodifiedtime of the object to be 30 or more days back
7. Update docker-compose.yml to set LIFECYCLE_CRON_CONFIG to be 0 2/* * * * ?, and restart dataflow.
8. Wait at least 2 minutes and check.""","1. After step 5, browser response: 200OK
2. Dashboard Lists the newly created Configuration showing transition rule
3. After step 8, check on OSDS dashboard, tier of the object should be Tier_999
4. Check on Azure console, storage class of the object should be Archive."
LIFECYCLE_TRANSITION,LIFECYCLE_TRANSITION_BIG_OBJ_OBS_INCLOUD,"1. OSDS build is installed
2. A bucket using Huawei OBS as it's default backend is created.
3. An object > 5MB is uploaded to the bucket with tier as tier_1.","""1. Choose the bucket and click on Lifecyle Menu
2. Enter Rule Name 
3. Select Transition Rule 
4. Choose transition to STANDARD_IA after 30 days, but without backend selected.
5. Click OK Button.
6. Update lastmodifiedtime of the object to be 30 or more days back
7. Update docker-compose.yml to set LIFECYCLE_CRON_CONFIG to be 0 2/* * * * ?, and restart dataflow.
8. Wait at least 2 minutes and check.""","1. After step 5, browser response: 200OK
2. Dashboard Lists the newly created Configuration showing transition rule
3. After step 8, check on OSDS dashboard, tier of the object should be Tier_99
4. Check on AWS console, storage class of the object should be Cool."
LIFECYCLE_TRANSITION,"CREATE_BUCKET_LIFECYCLE_TRANSITION_AWS
_CROSSCLOUD","1. OSDS build is installed
2. A bucket using YIG CEPH as it's default backend is created.
3. An object <= 5MB is uploaded to the bucket with tier as tier_1.
4. An AWS S3 backend is registered.","""1. Choose the bucket and click on Lifecyle Menu
2. Enter Rule Name 
3. Select Transition Rule 
4. Choose transition to STANDARD_IA after 30 days to an AWS backend
5. Click OK Button.
6. Update lastmodifiedtime of the object to be 30 or more days back
7. Update docker-compose.yml to set LIFECYCLE_CRON_CONFIG to be 0 2/* * * * ?, and restart dataflow.
8. Wait at least 2 minutes and check.""","1. After step 5, browser response: 200OK
2. Dashboard Lists the newly created Configuration showing transition rule
3. After step 8, check on OSDS dashboard, tier of the object should be Tier_99, and location should be changed from YIG CEPH backend to AWS S3 backend
4. Check on AWS console, the object exist and it's storage class should be Standard_IA."
LIFECYCLE_TRANSITION,"CREATE_BUCKET_LIFECYCLE_TRANSITION_OBS
_CROSSCLOUD","1. OSDS build is installed
2. A bucket using AWS S3 as it's default backend is created.
3. An object <= 5MB is uploaded to the bucket with tier as tier_99.
4. An OBS backend is registered.","""1. Choose the bucket and click on Lifecyle Menu
2. Enter Rule Name 
3. Select Transition Rule 
4. Choose transition to GLACIER after 30 days to an OBS backend
5. Click OK Button.
6. Update lastmodifiedtime of the object to be 30 or more days back
7. Update docker-compose.yml to set LIFECYCLE_CRON_CONFIG to be 0 2/* * * * ?, and restart dataflow.
8. Wait at least 2 minutes and check.""","1. After step 5, browser response: 200OK
2. Dashboard Lists the newly created Configuration showing transition rule
3. After step 8, check on OSDS dashboard, tier of the object should be Tier_999, and location should be changed from YIG CEPH backend to AWS S3 backend
4. Check on AWS console, the object exist and it's storage class should be GLACIER."
LIFECYCLE_TRANSITION,CREATE_BUCKET_LIFECYCLE_TRANSITION_AZURE_CROSSCLOUD,"1. OSDS build is installed
2. A bucket using CEPH as it's default backend is created.
3. An object <= 5MB is uploaded to the bucket with tier as tier_1.
4. An AZURE backend is registered.","""1. Choose the bucket and click on Lifecyle Menu
2. Enter Rule Name 
3. Select Transition Rule 
4. Choose transition to STANDARD_IA after 30 days to an AZURE backend
5. Click OK Button.
6. Update lastmodifiedtime of the object to be 30 or more days back
7. Update docker-compose.yml to set LIFECYCLE_CRON_CONFIG to be 0 2/* * * * ?, and restart dataflow.
8. Wait at least 2 minutes and check.""","1. After step 5, browser response: 200OK
2. Dashboard Lists the newly created Configuration showing transition rule
3. After step 8, check on OSDS dashboard, tier of the object should be Tier_99, and location should be changed from CEPH backend to Azure backend
4. Check on Azure console, the object exist and it's storage class should be Cool."
LIFECYCLE_TRANSITION,CREATE_BUCKET_LIFECYCLE_TRANSITION_AWS_CROSSCLOUD_MULTIPART,"1. OSDS build is installed
2. A bucket using YIG CEPH as it's default backend is created.
3. An object > 5MB is uploaded to the bucket with tier as tier_1.
4. An AWS backend is registered.","""1. Choose the bucket and click on Lifecyle Menu
2. Enter Rule Name 
3. Select Transition Rule 
4. Choose transition to STANDARD_IA after 30 days to an AWS backend
5. Click OK Button.
6. Update lastmodifiedtime of the object to be 30 or more days back
7. Update docker-compose.yml to set LIFECYCLE_CRON_CONFIG to be 0 2/* * * * ?, and restart dataflow.
8. Wait at least 2 minutes and check.""","1. After step 5, browser response: 200OK
2. Dashboard Lists the newly created Configuration showing transition rule
3. After step 8, check on OSDS dashboard, tier of the object should be Tier_99, and location should be changed from YIG CEPH backend to AWS backend
4. Check on AWS console, the object exist and it's storage class should be Standard_IA."
LIFECYCLE_TRANSITION,CREATE_BUCKET_LIFECYCLE_TRANSITION_OBS_CROSSCLOUD_MULTIPART,"1. OSDS build is installed
2. A bucket using CEPH as it's default backend is created.
3. An object > 5MB is uploaded to the bucket with tier as tier_99.
4. An OBS backend is registered.","""1. Choose the bucket and click on Lifecyle Menu
2. Enter Rule Name 
3. Select Transition Rule 
4. Choose transition to GLACIER after 30 days to an OBS backend
5. Click OK Button.
6. Update lastmodifiedtime of the object to be 30 or more days back
7. Update docker-compose.yml to set LIFECYCLE_CRON_CONFIG to be 0 2/* * * * ?, and restart dataflow.
8. Wait at least 2 minutes and check.""","1. After step 5, browser response: 200OK
2. Dashboard Lists the newly created Configuration showing transition rule
3. After step 8, check on OSDS dashboard, tier of the object should be Tier_999, and location should be changed from CEPH backend to AWS backend
4. Check on AWS console, the object exist and it's storage class should be GLACIER."
LIFECYCLE_TRANSITION,CREATE_BUCKET_LIFECYCLE_TRANSITION_AZURE_CROSSCLOUD_MULTIPART,"1. OSDS build is installed
2. A bucket using CEPH as it's default backend is created.
3. An object > 5MB is uploaded to the bucket with tier as tier_1.
4. An AZURE backend is registered.","""1. Choose the bucket and click on Lifecyle Menu
2. Enter Rule Name 
3. Select Transition Rule 
4. Choose transition to STANDARD_IA after 30 days to an AZURE backend
5. Click OK Button.
6. Update lastmodifiedtime of the object to be 30 or more days back
7. Update docker-compose.yml to set LIFECYCLE_CRON_CONFIG to be 0 2/* * * * ?, and restart dataflow.
8. Wait at least 2 minutes and check.""","1. After step 5, browser response: 200OK
2. Dashboard Lists the newly created Configuration showing transition rule
3. After step 8, check on OSDS dashboard, tier of the object should be Tier_99, and location should be changed from CEPH backend to Azure backend
4. Check on Azure console, the object exist and it's storage class should be Cool."
LIFECYCLE_EXPIRATION,CREATE_BUCKET_LIFECYCLE_EXPIRATION_AWS,"1. OSDS build is installed
2. A bucket using AWS S3 as it's default backend is created.
3. An object <= 5MB is uploaded to the bucket.","""1. Choose the bucket and click on Lifecyle Menu
2. Enter Rule Name 
3. Select Transition Rule 
4. Choose expiration after 30 days
5. Click OK Button.
6. Update lastmodifiedtime of the object to be 30 or more days back
7. Update docker-compose.yml to set LIFECYCLE_CRON_CONFIG to be 0 2/* * * * ?, and restart dataflow.
8. Wait at least 2 minutes and check.""","1. After step 5, browser response: 200OK
2. Dashboard Lists the newly created Configuration showing transition rule
3. After step 8, check on OSDS dashboard, object is disapeared.
4. Check on AWS console, the object is disapeared too."
LIFECYCLE_EXPIRATION,CREATE_BUCKET_LIFECYCLE_EXPIRATION_AZURE,"1. OSDS build is installed
2. A bucket using Azure Blob as it's default backend is created.
3. An object <= 5MB is uploaded to the bucket.","""1. Choose the bucket and click on Lifecyle Menu
2. Enter Rule Name 
3. Select Transition Rule 
4. Choose expiration after 30 days
5. Click OK Button.
6. Update lastmodifiedtime of the object to be 30 or more days back
7. Update docker-compose.yml to set LIFECYCLE_CRON_CONFIG to be 0 2/* * * * ?, and restart dataflow.
8. Wait at least 2 minutes and check.""","1. After step 5, browser response: 200OK
2. Dashboard Lists the newly created Configuration showing transition rule
3. After step 8, check on OSDS dashboard, object is disapeared.
4. Check on Azure console, the object is disapeared too."
LIFECYCLE_EXPIRATION,CREATE_BUCKET_LIFECYCLE_EXPIRATION_OBS,"1. OSDS build is installed
2. A bucket using OBS as it's default backend is created.
3. An object <= 5MB is uploaded to the bucket.","""1. Choose the bucket and click on Lifecyle Menu
2. Enter Rule Name 
3. Select Transition Rule 
4. Choose expiration after 30 days
5. Click OK Button.
6. Update lastmodifiedtime of the object to be 30 or more days back
7. Update docker-compose.yml to set LIFECYCLE_CRON_CONFIG to be 0 2/* * * * ?, and restart dataflow.
8. Wait at least 2 minutes and check.""","1. After step 5, browser response: 200OK
2. Dashboard Lists the newly created Configuration showing transition rule
3. After step 8, check on OSDS dashboard, object is disapeared.
4. Check on Huawei Cloud console, the object is disapeared too."
LIFECYCLE_EXPIRATION,CREATE_BUCKET_LIFECYCLE_EXPIRATION_GCP,"1. OSDS build is installed
2. A bucket using GCP as it's default backend is created.
3. An object <= 5MB is uploaded to the bucket.","""1. Choose the bucket and click on Lifecyle Menu
2. Enter Rule Name 
3. Select Transition Rule 
4. Choose expiration after 30 days
5. Click OK Button.
6. Update lastmodifiedtime of the object to be 30 or more days back
7. Update docker-compose.yml to set LIFECYCLE_CRON_CONFIG to be 0 2/* * * * ?, and restart dataflow.
8. Wait at least 2 minutes and check.""","1. After step 5, browser response: 200OK
2. Dashboard Lists the newly created Configuration showing transition rule
3. After step 8, check on OSDS dashboard, object is disapeared.
4. Check on GCP console, the object is disapeared too."
LIFECYCLE_EXPIRATION,CREATE_BUCKET_LIFECYCLE_EXPIRATION_IBM,"1. OSDS build is installed
2. A bucket using IBM as it's default backend is created.
3. An object <= 5MB is uploaded to the bucket.","""1. Choose the bucket and click on Lifecyle Menu
2. Enter Rule Name 
3. Select Transition Rule 
4. Choose expiration after 30 days
5. Click OK Button.
6. Update lastmodifiedtime of the object to be 30 or more days back
7. Update docker-compose.yml to set LIFECYCLE_CRON_CONFIG to be 0 2/* * * * ?, and restart dataflow.
8. Wait at least 2 minutes and check.""","1. After step 5, browser response: 200OK
2. Dashboard Lists the newly created Configuration showing transition rule
3. After step 8, check on OSDS dashboard, object is disapeared.
4. Check on IBM Cloud console, the object is disapeared too."
LIFECYCLE_EXPIRATION,CREATE_BUCKET_LIFECYCLE_EXPIRATION_CEPH,"1. OSDS build is installed
2. A bucket using CEPH as it's default backend is created.
3. An object <= 5MB is uploaded to the bucket.","""1. Choose the bucket and click on Lifecyle Menu
2. Enter Rule Name 
3. Select Transition Rule 
4. Choose expiration after 30 days
5. Click OK Button.
6. Update lastmodifiedtime of the object to be 30 or more days back
7. Update docker-compose.yml to set LIFECYCLE_CRON_CONFIG to be 0 2/* * * * ?, and restart dataflow.
8. Wait at least 2 minutes and check.""","1. After step 5, browser response: 200OK
2. Dashboard Lists the newly created Configuration showing transition rule
3. After step 8, check on OSDS dashboard, object is disapeared."
LIFECYCLE_EXPIRATION,CREATE_BUCKET_LIFECYCLE_EXPIRATION_YIG,"1. OSDS build is installed
2. A bucket using YIG CEPH as it's default backend is created.
3. An object <= 5MB is uploaded to the bucket.","""1. Choose the bucket and click on Lifecyle Menu
2. Enter Rule Name 
3. Select Transition Rule 
4. Choose expiration after 30 days
5. Click OK Button.
6. Update lastmodifiedtime of the object to be 30 or more days back
7. Update docker-compose.yml to set LIFECYCLE_CRON_CONFIG to be 0 2/* * * * ?, and restart dataflow.
8. Wait at least 2 minutes and check.""","1. After step 5, browser response: 200OK
2. Dashboard Lists the newly created Configuration showing transition rule
3. After step 8, check on OSDS dashboard, object is disapeared."
DISABLE BUCKET LIFECYCLE,UPDATE_BUCKET_LIFECYCLE_AWS,OSDS build is installed,"1. Click on Bucket
 2. Click on Lifecycle Menu
 3. Check the lifecycle configuration existing on that bucket
 4. Check on the right side options of the rule, click on Disable
 5. There will be a pop up showing that configuration will be disabled, click OK","1. Lifecycle configuration will be updated in DB with updated status
 2. Browse response: 200OK
 3. Dashboard shows status of lifecycle configuration as Disabled"
DISABLE BUCKET LIFECYCLE,UPDATE_BUCKET_LIFECYCLE,"1. OSDS build is installed
2. A bucket is created and some lifecycle configuration exist for it.","1. Click on Bucket
 2. Click on Lifecycle Menu
 3. Check the lifecycle configuration existing on that bucket
 4. Check on the right side options of the rule, click on Disable
 5. There will be a pop up showing that configuration will be disabled, click OK","1. Lifecycle configuration will be updated in DB with updated status
 2. Browse response: 200OK
 3. Dashboard shows status of lifecycle configuration as Disabled"
UPLOAD OBJECT,UPLOAD_OBJECT_AWS,"1. OSDS build is installed
2. A bucket is created using AWS S3 as it's default backend.","1. Click on Bucket
2. Click on Upload object
3. Upload an object <= 5BM","1. Folder Should be Created in Cloud Backend
2. Object should appear in the Bucket/Folder"
UPLOAD OBJECT,UPLOAD_OBJECT_AZURE,"1. OSDS build is installed
2. A bucket is created using Azure Blob as it's default backend.","1. Click on Bucket
2. Click on Upload object
3. Upload an object <= 5BM","1. Folder Should be Created in Cloud Backend
2. Object should appear in the Bucket/Folder"
UPLOAD OBJECT,UPLOAD_OBJECT_AWS_MULTIPART,"1. OSDS build is installed
2. A bucket is created using AWS S3 as it's default backend.","1. Click on Bucket
2. Click on Upload object
3. Upload an object > 5BM","1. Folder Should be Created in Cloud Backend
2. Object should appear in the Bucket/Folder"
