Feature Scenario,Testcase Title,Testcase Precondition,Testcase steps,Expected Result
"User can do data lifecycle operations within Huawei Cloud [Valid Inputs]









",Transitioning object from STANDARD to STANDARD_IA within huawei backend,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using HUAWEI backend
5. Object is uploaded in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to STANDARD_IA storage class
5. Select backend as huawei backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD to GLACIER  within huawei backend,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using HUAWEI backend
5. Object should be in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to GLACIER storage class
5. Select backend as huawei backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD_IA to GLACIER  within huawei backend,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using HUAWEI backend
5. Object located in STANDARD_IA storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD_IA to GLACIER storage class
5. Select backend as huawei backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
"User can do data lifecycle operations within Huawei Cloud [Invalid Inputs]










",Transitioning object from STANDARD_IA to STANDARD within huawei backend,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using HUAWEI backend
5. Object located in STANDARD_IA storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD_IA to STANDARD storage class

","1. Popup showing the transition is not allowed.
2. Browse response : Error


"
,Transitioning object from GLACIER to STANDARD_IA within huawei backend,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using HUAWEI backend
5. Object located in GLACIER storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition fromGLACIER to  STANDARD_IA storage class

","1. Popup showing the transition is not allowed.
2. Browse response : Error


"
,Transitioning object from GLACIER to STANDARD within huawei backend,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using HUAWEI backend
5. Object located in GLACIER storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from GLACIER to STANDARD storage class

","1. Popup showing the transition is not allowed.
2. Browse response : Error


"
"User can do data lifecycle operations within AWS Cloud [Valid Inputs]









",Transitioning object from STANDARD to STANDARD_IA within AWS backend,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Object is uploaded in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to STANDARD_IA storage class
5. Select backend as AWS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD to GLACIER  within AWS backend,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Object should be in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to GLACIER storage class
5. Select backend as AWS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD_IA to GLACIER  within AWS backend,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Object located in STANDARD_IA storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD_IA to GLACIER storage class
5. Select backend as AWS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
"User can do data lifecycle operations within AWS Cloud [Invalid Inputs]










",Transitioning object from STANDARD_IA to STANDARD within AWS backend,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Object located in STANDARD_IA storage class","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD_IA to STANDARD storage class

","1. Popup showing the transition is not allowed.
2. Browse response : Error


"
,Transitioning object from GLACIER to STANDARD_IA within AWS backend,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Object located in GLACIER storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition fromGLACIER to  STANDARD_IA storage class

","1. Popup showing the transition is not allowed.
2. Browse response : Error


"
,Transitioning object from GLACIER to STANDARD within AWS backend,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Object located in GLACIER storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from GLACIER to STANDARD storage class

","1. Popup showing the transition is not allowed.
2. Browse response : Error


"
"User can do data lifecycle operations within AzureCloud [Valid Inputs]









",Transitioning object from STANDARD to STANDARD_IA within Azure backend,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using Azure backend
5. Object is uploaded in STANDARD storage class



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to STANDARD_IA storage class
5. Select backend as Azure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD to GLACIER  within Azure  backend,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using Azure backend
5. Object should be in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to GLACIER storage class
5. Select backend as Azure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD_IA to GLACIER  within Azure backend,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using Azure backend
5. Object located in STANDARD_IA storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD_IA to GLACIER storage class
5. Select backend as Azure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
"User can do data lifecycle operations within Azure Cloud [Invalid Inputs]










",Transitioning object from STANDARD_IA to STANDARD within Azure backend,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using Azure backend
5. Object located in STANDARD_IA storage class","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD_IA to STANDARD storage class

","1. Popup showing the transition is not allowed.
2. Browse response : Error


"
,Transitioning object from GLACIER to STANDARD_IA within Azure backend,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using Azure backend
5. Object located in GLACIER storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition fromGLACIER to  STANDARD_IA storage class

","1. Popup showing the transition is not allowed.
2. Browse response : Error


"
,Transitioning object from GLACIER to STANDARD within Azure backend,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using Azure backend
5. Object located in GLACIER storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from GLACIER to STANDARD storage class

","1. Popup showing the transition is not allowed.
2. Browse response : Error


"
"User can do data lifecycle operations within GCP Cloud [Valid Inputs]









",Transitioning object from STANDARD to STANDARD_IA within GCP backend,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using GCP backend
5. Object is uploaded in STANDARD storage class



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to STANDARD_IA storage class
5. Select backend as GCP backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD to GLACIER  within GCP  backend,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using GCP backend
5. Object should be in STANDARD storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD to GLACIER storage class
5. Select backend as GCP backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD_IA to GLACIER  within GCP backend,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using GCP backend
5. Object located in STANDARD_IA storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD_IA to GLACIER storage class
5. Select backend as GCP backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
"User can do data lifecycle operations within GCP Cloud [Invalid Inputs]










",Transitioning object from STANDARD_IA to STANDARD within GCP backend,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using GCP backend
5. Object located in STANDARD_IA storage class","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from STANDARD_IA to STANDARD storage class

","1. Popup showing the transition is not allowed.
2. Browse response : Error


"
,Transitioning object from GLACIER to STANDARD_IA within GCP backend,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using GCP backend
5. Object located in GLACIER storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from GLACIER to  STANDARD_IA storage class

","1. Popup showing the transition is not allowed.
2. Browse response : Error


"
,Transitioning object from GLACIER to STANDARD within GCP backend,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using GCP backend
5. Object located in GLACIER storage class
","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition from GLACIER to STANDARD storage class

","1. Popup showing the transition is not allowed.
2. Browse response : Error


"
"User can do data lifecycle operations across cloud from OBS Cloud to AWS cloud [Valid Inputs]

















",Transitioning object from STANDARD OBS to STANDARD_IA AWS,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using OBS backend
5. Another bucket created using AWS backend
6. Object is uploaded in STANDARD storage class of OBS backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition to STANDARD_IA storage class
5. Select backend as AWS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule across cloud in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD OBS to GLACIER AWS,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using OBS backend
5. Another bucket created using AWS backend
6. Object is uploaded in STANDARD storage class of OBS backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as AWS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD_IA OBS  to GLACIER AWS,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using OBS backend
5. Another bucket created using AWS backend
6. Object is uploaded in STANDARD_IA storage class of OBS backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as AWS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from GLACIER OBS  to GLACIER AWS,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using OBS backend
5. Another bucket created using AWS backend
6. Object is uploaded in GLACIER storage class of OBS backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as AWS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
"User can do data lifecycle operations across cloud from OBS Cloud to Azure cloud [Valid Inputs]



























",Transitioning object from STANDARD OBS to STANDARD_IA Azure,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using OBS backend
5. Another bucket created using Azure  backend
6. Object is uploaded in STANDARD storage class of OBS backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition to STANDARD_IA storage class
5. Select backend as Azure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule across cloud in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD OBS to GLACIER Azure,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using OBS backend
5. Another bucket created using Azure backend
6. Object is uploaded in STANDARD storage class of OBS backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as Azure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD_IA OBS  to GLACIER Azure,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using OBS backend
5. Another bucket created using Azure backend
6. Object is uploaded in STANDARD_IA storage class of OBS backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as Azure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from GLACIER OBS  to GLACIER Azure,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using OBS backend
5. Another bucket created using Azure backend
6. Object is uploaded in GLACIER storage class of OBS backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as Azure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
"User can do data lifecycle operations across cloud from OBS Cloud to GCP cloud [Valid Inputs]



























",Transitioning object from STANDARD OBS to STANDARD_IA GCP,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using OBS backend
5. Another bucket created using GCP  backend
6. Object is uploaded in STANDARD storage class of OBS backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition to STANDARD_IA storage class
5. Select backend as Azure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule across cloud in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD OBS to GLACIER GCP,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using OBS backend
5. Another bucket created using GCP backend
6. Object is uploaded in STANDARD storage class of OBS backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as GCP backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD_IA OBS  to GLACIER GCP,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using OBS backend
5. Another bucket created using GCP backend
6. Object is uploaded in STANDARD_IA storage class of OBS backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as GCP backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from GLACIER OBS  to GLACIER GCP,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using OBS backend
5. Another bucket created using GCP backend
6. Object is uploaded in GLACIER storage class of OBS backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as GCP backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
"User can do data lifecycle operations across cloud from AWS Cloud to OBS cloud [Valid Inputs]



























",Transitioning object from STANDARD AWS to STANDARD_IA OBS,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Another bucket created using OBS  backend
6. Object is uploaded in STANDARD storage class of AWS backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition to STANDARD_IA storage class
5. Select backend as OBS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule across cloud in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD AWS to GLACIER OBS,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Another bucket created using OBS backend
6. Object is uploaded in STANDARD storage class of AWS backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as OBS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD_IA AWS  to GLACIER OBS,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Another bucket created using OBS backend
6. Object is uploaded in STANDARD_IA storage class of AWS backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as OBS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from GLACIER AWS  to GLACIER OBS,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Another bucket created using OBS backend
6. Object is uploaded in GLACIER storage class of AWS backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as OBS backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
"User can do data lifecycle operations across cloud from AWS Cloud to Azure  cloud [Valid Inputs]



























",Transitioning object from STANDARD AWS to STANDARD_IA Azure,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Another bucket created using Azure  backend
6. Object is uploaded in STANDARD storage class of AWS backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition to STANDARD_IA storage class
5. Select backend as Azure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule across cloud in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD AWS to GLACIER Azure,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Another bucket created using Azure backend
6. Object is uploaded in STANDARD storage class of AWS backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as Azure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from STANDARD_IA AWS  to GLACIER Azure,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Another bucket created using Azure backend
6. Object is uploaded in STANDARD_IA storage class of AWS backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as Azure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
,Transitioning object from GLACIER AWS  to GLACIER Azure,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Another bucket created using Azure backend
6. Object is uploaded in GLACIER storage class of AWS backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition  to GLACIER storage class
5. Select backend as Azure backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule in lifecycle configuration of the bucket


"
"User can do data lifecycle operations across cloud from AWS Cloud to GCP cloud [Valid Inputs]



























",Transitioning object from STANDARD AWS to STANDARD_IA GCP,"1. Application is  Installed & running
2. Dashboard is deployed and running
3. User logged into dashboard
4. Bucket is created using AWS backend
5. Another bucket created using GCP  backend
6. Object is uploaded in STANDARD storage class of AWS backend



","1. Click on Bucket
2. Click on  Lifecycle Menu
3. Select transition rule 
4. Select the transition to STANDARD_IA storage class
5. Select backend as GCP backend
6. Click SUBMIT Button","1. Lifecycle rule will be updated in MongoDB
2. Browse response: 200OK
3. Dashboard will list the transition rule across cloud in lifecycle configuration of the bucket


"
