Feature Scenario,Testcase Title,TestcaseId,Testcase Precondition,Testcase steps
Create Volume,"[Valid Scenario] inputs: name: 'volume1', size:1, poolId:<valid poolId>",,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume create <size> --name=<name>
Create Volume,"[Valid Scenario] inputs: name: 'volume1', size:1, snapshotId:<valid snapshotId>",,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume create <size> --name=<name>
Create Volume,"[Valid Scenario] inputs: name: 'volume1', size:1, profileId:<valid profileId>",,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume create <size> --name=<name>
Create Volume,"[Valid Scenario] inputs: name: 'volume1', size:1, groupId:<valid groupId>",,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume create <size> --name=<name>
Create Volume,"[Valid Scenario] inputs: name: 'volume1', size:1, replicationId:<valid replication>",,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume create <size> --name=<name>
Create Volume,"[Valid Scenario] inputs: name: 'volume1', size:1, availabilityZone:<valid availability Zone>",,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume create <size> --name=<name>
Delete Volume,[Valid Scenario] inputs: VolumeId:<valid volumeId>,,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume delete <volumeId>
Update Volume,[Valid Scenario] Update volume name within length of 1- 255 characters,,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume update <volumeId>
Update Volume,[Invalid Scenario] Update volume name with empty string,,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume update <volumeId>
Update Volume,[Invalid Scenario] Update volume name with special character string,,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume update <volumeId>
Update Volume,[Invalid Scenario] Update volume name length greater than 255 characters,,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume update <volumeId>
Update Volume,[Valid Scenario] Update volume Description with empty string,,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume update <volumeId>
Update Volume,[Invalid Scenario] Update volume with wrong volumeId(non-existing Id),,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume update <volumeId>
Update Volume,[Invalid Scenario] Update volume with other parameters except name and description,,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume update <volumeId>
Get Volume,"[Valid Scenario] Input: volumeId, Give the correct volumeId",,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume list <volumeId>
Get Volume,"[Invalid Scenario]  Input: volumeId, Give the correct volumeId",,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume list <volumeId>
List Volume,[Valid Scenario]  List all the volumes,,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume list
Create Volume snapshot,"[Valid Scenario] Create snapshot for volume with valid inputs name: ""vol_snap1"", description:'This is just test', profileId: Valid profileId",,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume snapshot create
Create Volume snapshot,[Invalid Scenario] Create  snapshot with empty name,,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume snapshot create
Create Volume snapshot,[Invalid Scenario] Create snapshot name having special characters,,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume snapshot create
Create Volume snapshot,[Invalid Scenario] Create snapshot name starts with numbers,,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume snapshot create
Create Volume snapshot,[Invalid Scenario] Create snapshot name length more than 255 characters,,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume snapshot create
Create Volume snapshot,[Valid Scenario] Create snapshot description with empty string,,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume snapshot create
Create Volume snapshot,[Invalid Scenario] Create snapshot with description having special characters,,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume snapshot create
Create Volume snapshot,[Invalid Scenario] Create snapshot with description with more than 255 characters,,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume snapshot create
Create Volume snapshot,[Invalid Scenario] Create snapshot without required parameters like volume Id,,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume snapshot create
Create Volume snapshot,"[Invalid Scenario] Create snapshot by specifying name, volumeId but not the ProfileId",,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume snapshot create
Create Volume snapshot,[Invalid Scenario] Create snapshot by specifying wrong/non-existing profile Id,,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume snapshot create
Delete Volume snapshot,[Valid Scenario] Delete snapshot by providing volid snapshotId,,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume snapshot delete <snapshotId>
Delete Volume snapshot,[Invalid Scenario] Delete snapshot by specifying wrong/non-existing snapshotId,,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Block Profile must be created",[CLI] osdsctl volume snapshot delete <snapshotId>
