Feature Scenario,Testcase Title,TestcaseId,Testcase Precondition,Testcase steps,Expected Result
List volumes,Empty List of  volumes with wrong filter,SIM_RM_0019,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd","1. Call GET /v1/volumes ?<query_params>
try wrong query options and different combination of query params
2. Verify the result","1.In step2,  the code returned is 200 OK
empty list is returned"
List volumes,Empty List of volumes ,SIM_RM_0020,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd[optional]","1. Call GET /v1/volumes when No storage is registered
2.Repeate step 1 when All storages are deleted
3. Verify the result
","1.In step3,  the code returned is 200 OK
empty list is returned"
List controllers,Successfully list all controllers discovered,SIM_RM_0021,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd","1. Call GET /v1/controllers
2. Verify the result and validate following fields from storage
-status
- original controllers id 
- original storage id
","1.in step2,  the code returned is 200 OK
2.Values are matching with storage"
List controllers,Succesfully list all controllers  by applying filter,SIM_RM_0022,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd","1. Call GET /v1/volumes ?<query_params>
try allowed query options and different combination of query params
2. Verify the result and  validate following fields from storage
-status
- original volume id 
- original storage id
-capacity values","1.in step2,  the code returned is 200 OK
2.Values are matching with storage"
List controllers,Empty List of  controllers with wrong filter,SIM_RM_0023,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd","1. Call GET /v1/controllers ?<query_params>
try wrong query options and different combination of query params
2. Verify the result","1.In step2,  the code returned is 200 OK
empty list is returned"
List controllers,Empty List of controllers ,SIM_RM_0024,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd[optional]","1. Call GET /v1/controllers when No storage is registered
2.Repeate step 1 when All storages are deleted
3. Verify the result
","1.In step3,  the code returned is 200 OK
empty list is returned"
List ports,Successfully list all ports discovered,SIM_RM_0025,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd","1. Call GET /v1/ports
2. Verify the result and validate following fields from storage
-status
- original ports id 
- original storage id
-capacity values
","1.in step2,  the code returned is 200 OK
2.Values are matching with storage"
List ports,Succesfully list all ports  by applying filter,SIM_RM_0026,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd","1. Call GET /v1/ports ?<query_params>
try allowed query options and different combination of query params
2. Verify the result and  validate following fields from storage
-status
- original ports id 
- original storage id
","1.in step2,  the code returned is 200 OK
2.Values are matching with storage"
List ports,Empty List of  ports with wrong filter,SIM_RM_0027,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd","1. Call GET /v1/ports ?<query_params>
try wrong query options and different combination of query params
2. Verify the result","1.In step2,  the code returned is 200 OK
empty list is returned"
List ports,Empty List of ports ,SIM_RM_0028,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd[optional]","1. Call GET /v1/ports when No storage is registered
2.Repeate step 1 when All storages are deleted
3. Verify the result
","1.In step3,  the code returned is 200 OK
empty list is returned"
List disks,Successfully list all disks discovered,SIM_RM_0029,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd","1. Call GET /v1/disks
2. Verify the result and validate following fields from storage
-status
- original disks id 
- original storage id

","1.in step2,  the code returned is 200 OK
2.Values are matching with storage"
List disks,Succesfully list all disks  by applying filter,SIM_RM_0030,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd","1. Call GET /v1/disks ?<query_params>
try allowed query options and different combination of query params
2. Verify the result and  validate following fields from storage
-status
- original volume id 
- original storage id
","1.in step2,  the code returned is 200 OK
2.Values are matching with storage"
List disks,Empty List of  disks with wrong filter,SIM_RM_0031,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd","1. Call GET /v1/disks ?<query_params>
try wrong query options and different combination of query params
2. Verify the result","1.In step2,  the code returned is 200 OK
empty list is returned"
List disks,Empty List of disks ,SIM_RM_0032,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd[optional]","1. Call GET /v1/disks when No storage is registered
2.Repeate step 1 when All storages are deleted
3. Verify the result
","1.In step3,  the code returned is 200 OK
empty list is returned"
GET storage ,succefully Get storage with righ ID,SIM_RM_0033,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd","1. Call GET v1/storages/<storage_id>
2. Verify the result and validate following fields from storage
 validate following fields from storage
-status
- original volume id 
- original storage id
-capacity values","1.in step2,  the code returned is 200 OK
2.Values are matching with storage"
GET storage ,Failure to GET storage ,SIM_RM_0034,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registered [optional]","1. Call GET v1/storages/<storage_id> with  Wrong storage_id
2. Call GET v1/storages/<storage_id> with  a deleted storage storage_id

3. Verify the result","1. in setp3, received 404 Not found"
GET pool ,Successfully Get pool with righ ID,SIM_RM_0035,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd","1. Call GET v1/pools/<pool_id>
2. Verify the result and validate following fields with storage
 -status
- original pool id 
-capacity values","1.in step2,  the code returned is 200 OK
2.Values are matching with storage"
GET pool ,Failure to Get pool ,SIM_RM_0036,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registered [optional]","1. Call GET v1/pools/<pool_id> with wrong storage id
2. Call GET v1/pools/<pool_id> with deleted storage id
2. Verify the result","1. in setp3, received 404 Not found"
GET volume ,Successfully Get volume with righ ID,SIM_RM_0037,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd","1. Call GET v1/volumes/<volume_id>
2. Verify the result and validate following fields from storage 
-status
- original volume id 
-capacity values","1.in step2,  the code returned is 200 OK
2.Values are matching with storage"
GET volume ,Failure to Get volume ,SIM_RM_0038,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registered [optional]","1. Call GET v1/volumes/<volume_id> with 
Wrong volume_id
2.  Call GET v1/volumes/<volume_id> with 
deleted volume_id
3. Verify the result"," 1. in setp3, received 404 Not found"
GET controller ,Successfully Get controller with righ ID,SIM_RM_0039,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd","1. Call GET v1/controller/<controller_id>
2. Verify the result and validate following fields from storage 
-status
- original controller id ","1.in step2,  the code returned is 200 OK
2.Values are matching with storage"
GET controller ,Failure to Get controller ,SIM_RM_0040,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registered [optional]","1. Call GET v1/controllers/<controller_id> with 
Wrong controller_id
2.  Call GET v1/controllers/<controller_id> with 
deleted controller_id
3. Verify the result"," 1. in setp3, received 404 Not found"
GET port ,Successfully Get port with righ ID,SIM_RM_0041,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd","1. Call GET v1/ports/<port_id>
2. Verify the result and validate following fields from storage 
-status
- original port id ","1.in step2,  the code returned is 200 OK
2.Values are matching with storage"
GET port ,Failure to Get port ,SIM_RM_0042,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registered [optional]","1. Call GET v1/ports/<port_id> with 
Wrong port_id
2.  Call GET v1/ports/<port_id> with 
deleted port_id
3. Verify the result"," 1. in setp3, received 404 Not found"
GET disk,Successfully Get disk with righ ID,SIM_RM_0043,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd","1. Call GET v1/disks/<disk_id>
2. Verify the result and validate following fields from storage 
-status
- original disk id 
","1.in step2,  the code returned is 200 OK
2.Values are matching with storage"
GET disk ,Failure to Get disk ,SIM_RM_0044,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registered [optional]","1. Call GET v1/disks/<disk_id> with 
Wrong disk_id
2.  Call GET v1/volumes/<disk_id> with 
deleted dosk_id
3. Verify the result"," 1. in setp3, received 404 Not found"
Update Access-Info ,"Succesfully Update  right storage access info 
",SIM_RM_0045,"1. SIM project installed
2. Device Available
3.Device is already  registerd","1. Call PUT /v1/storages/<storage_id>/access-info{
 ""host"": ""10.0.0.1"",
 ""port"": ""1234"",
 ""username"": ""admin"",
 ""password"": ""password"",
 ""extra_attributes"": {
 ""array_id"": ""string"",
 }
}
2.Call GET  /v1/storages/<storage_id>/access-info","1.In step1,  the code returned is 200 OK
2.succesfully retrieved updated access-info"
Update Access-Info ,Failure to  Update  storage access info ,SIM_RM_0046,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registerd[optional]","1. Call PUT /v1/storages/<storage_id>/access-info{
 ""host"": ""10.0.0.1"",
 ""port"": ""1234"",
 ""username"": ""admin"",
 ""password"": ""password"",
 ""extra_attributes"": {
 ""array_id"": ""string"",
 }
} repeate this API with 

-. Wrong credentials
-. Wrong ip/port
-. array_id
-. Device unreachable
-.Already deleted storage
2.Call GET  /v1/storages/<storage_id>/access-info
3. Verify Access-info is not modified","1. in step1,400 BAD request
2.in step3, confirmed the  Access Information is not  modified"
GET access-info ,Succesfully Get access-info with righ storage ID,SIM_RM_0047,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registered","1. Call GET v1/storages/<storage_id>/access-info
2. Verify the result","1.In step2,  the code returned is 200 OK
 one access-info returned in reponse. 
"
GET access-info ,Failed to  Get access-info ,SIM_RM_0048,"1. SIM project installed
2. Device Available[optional]
3.Device is already  registered [optional]","1. Call GET v1/storages/<storage_id>/access-info
with  Wrong storage_id
2. Repeatt step 1 for storage_id of  deleted storage","1. in setp1, received 404 Not found"
Certification Authentication,Failed to get storages In One-Way SSL authentication,SIM_RM_0049,"1. Self-signed ca.crt, and server.crt signed by ca.crt is created.
2. SIM project installed  with ssl enabled(dolphin_use_ssl is set to be true in dolphin.conf, with set cert_file, key_file, version configured.)
3.  Did not import ca.crt in browser.
","1. Call GET /v1/storages with https.
2. Check whether get successfully.",1. Failed to get storages.
Certification Authentication,Successfully get storages In One-Way SSL authentication,SIM_RM_0050,"1. Self-signed ca.crt, and server.crt signed by ca.crt is created.
2. SIM project installed  with ssl enabled(dolphin_use_ssl is set to be true in dolphin.conf, with set cert_file, key_file, version configured. )
3.  Import ca.crt in browser.
","1. Call GET /v1/storages with https.
2. Check whether get successfully.",1. Get storages successfully.
Certification Authentication,Failed to get storages In Two-Way SSL authentication,SIM_RM_0051,"1. Self-signed ca.crt, and server.crt/client.pfx signed by ca.crt are created.
2. SIM project installed  with ssl enabled(dolphin_use_ssl is set to be true in dolphin.conf , with cert_file, key_file version, and ca_file configured.)
3.  Import ca.crt in browser, but not import client.pfx in browser.
","1. Call GET /v1/storages with http.
2. Check whether get successfully.",1. Failed to get storages.
Certification Authentication,Successfully get storages In Two-Way SSL authentication,SIM_RM_0052,"1. Self-signed ca.crt, and server.crt/client.pfx signed by ca.crt are created.
2. SIM project installed  with ssl enabled(dolphin_use_ssl is set to be true in dolphin.conf , with cert_file, key_file version, and ca_file )
3.  Import ca.crt/client.pfx in browser.
","1. Call GET /v1/storages with https.
2. Check whether get successfully.",1. Get storages successfully.
Performance Test,Single device synchronization task can finish in 15 minutes.,SIM_RM_0053,"1. SIM project installed
2. A storage device with 2000 volumes exist
","1. Call POST /v1/storages with correct credentials body to register the storage device, example as below:
{ 
""username"":""admin"",
""password"": ""password"",
""port"":1234,
""host"" :10.0.0.1,
""vendor"" : “vendor”,
""model"": ""model""
}
2. Check whether the storage is registered successfully.
3. Wait less than 15 minutes, check wether the synchronization status of the device is fnished.",1. Synchronization status is finished.
Performance Test,100 synchronization tasks  can finish in 6 hours.,SIM_RM_0054,"1. SIM project installed
2. 100 storage devices, each with 2000 volumes exist
","1. For each device, do the follow steps:
    1). Call POST /v1/storages with correct credentials body to   register the storage device, example as below:
    { 
        ""username"":""admin"",
        ""password"": ""password"",
        ""port"":1234,
        ""host"" :10.0.0.1,
        ""vendor"" : “vendor”,
        ""model"": ""model""
    }
    2). Check whether the storage is registered successfully.
 
2. Wait less than 6 hours, check ",1. Synchronization status of all devices are finished.
Configure Alert Trap Information,Successful alert source configuration with  snmp v2 version,SIM_AM_001,"1. SIM project installed
2. Storage device Available 
","1. Call POST /v1/storages with correct credentials body to register a new storage device:
{ 
""username"":""admin"",
""password"": ""password"",
""port"":1234,
""host"" :10.0.0.1,
""vendor"" : “vendor”,
""model"": ""model""
}
2. Call PUT <ip-addr>:<port>/v1/storages/<storage-id>/alert-source to add a new alert source  with snmp v2 version:
{
 ""host"":""127.0.0.1"",
 ""version"":""snmpv2c"",
 ""community_string"":""public""
}

3. Check whether the alert source is registered successfully.
4. Obtain alert source information(GET <ip-addr>:<port>/v1/storages/<storage-id>/alert-source) and check whether the information is correct.","1. In step 3, the alert source is successfully added with normal state. The status code of return is 200.
2. In step 4, the basic information about the alert source is obtained successfully and the information is correct. Ensure that host and version and community_string are filled with correct values"
Configure Alert Trap Information,Failed alert source configuration without host ,SIM_AM_002,"1. SIM project installed
2. Storage device Available 
","1. Call POST /v1/storages with correct credentials body to register a new storage device:
{ 
""username"":""admin"",
""password"": ""password"",
""port"":1234,
""host"" :10.0.0.1,
""vendor"" : “vendor”,
""model"": ""model""
}
2. Call PUT <ip-addr>:<port>/v1/storages/<storage-id>/alert-source to add a new alert source  without host attribute:
{
 ""version"":""snmpv2c"",
 ""community_string"":""public""
}

3. Check whether the alert source is registered successfully.","1. In step 3, the alert source addition is failed with  
Status code : 400 Bad Request
host' is a required property"
Configure Alert Trap Information,Failed alert source configuration without version ,SIM_AM_003,"1. SIM project installed
2. Storage device Available 
","1. Call POST /v1/storages with correct credentials body to register a new storage device:
{ 
""username"":""admin"",
""password"": ""password"",
""port"":1234,
""host"" :10.0.0.1,
""vendor"" : “vendor”,
""model"": ""model""
}
2. Call PUT <ip-addr>:<port>/v1/storages/<storage-id>/alert-source to add a new alert source  without version attribute:
{
 ""host"":""127.0.0.1"",
 ""community_string"":""public""
}

3. Check whether the alert source is registered successfully.","1. In step 3, the alert source addition is failed with  
Status code : 400 Bad Request
'version' is a required property"
Configure Alert Trap Information,Failed alert source configuration with invalid version ,SIM_AM_004,"1. SIM project installed
2. Storage device Available 
","1. Call POST /v1/storages with correct credentials body to register a new storage device:
{ 
""username"":""admin"",
""password"": ""password"",
""port"":1234,
""host"" :10.0.0.1,
""vendor"" : “vendor”,
""model"": ""model""
}
2. Call PUT <ip-addr>:<port>/v1/storages/<storage-id>/alert-source to add a new alert source  with invalid version attribute:
{
 ""host"":""127.0.0.1"",
 ""version"":""snmpv5"",
 ""community_string"":""public""
}

3. Check whether the alert source is registered successfully.","1. In step 3, the alert source addition is failed with  
Status code : 400 Bad Request
Invalid input for field/attribute version. Value: snmpv5. 'snmpv5' is not one of ['SNMPv1', 'SNMPv2c', 'SNMPv3', 'snmpv1', 'snmpv2c', 'snmpv3']"
Configure Alert Trap Information,Failed alert source configuration without engineid,SIM_AM_005,"1. SIM project installed
2. Storage device Available 
","1. Call POST /v1/storages with correct credentials body to register a new storage device:
{ 
""username"":""admin"",
""password"": ""password"",
""port"":1234,
""host"" :10.0.0.1,
""vendor"" : “vendor”,
""model"": ""model""
}
2. Call PUT <ip-addr>:<port>/v1/storages/<storage-id>/alert-source to add a new alert source  without engineid attribute:
{
 ""host"": ""127.0.0.1"",
 ""version"": ""snmpv3"",
 ""username"": ""test1"",
 ""security_level"": ""AuthPriv"",
 ""auth_protocol"": ""sha"",
 ""auth_key"": ""abcd123456"",
 ""privacy_protocol"": ""des"",
 ""privacy_key"": ""abcd123456"",
}

3. Check whether the alert source is registered successfully.","1. In step 3, the alert source addition is failed with  
Status code : 400 Bad Request
Invalid input received: If snmp version is SNMPv3, then username, security_level and engine_id are required."
Configure Alert Trap Information,Failed alert source configuration with invalid engineid,SIM_AM_006,"1. SIM project installed
2. Storage device Available 
","1. Call POST /v1/storages with correct credentials body to register a new storage device:
{ 
""username"":""admin"",
""password"": ""password"",
""port"":1234,
""host"" :10.0.0.1,
""vendor"" : “vendor”,
""model"": ""model""
}
2. Call PUT <ip-addr>:<port>/v1/storages/<storage-id>/alert-source to add a new alert source  with invalid engineid attribute:
{
 ""host"": ""127.0.0.1"",
 ""version"": ""snmpv3"",
 ""username"": ""test1"",
 ""security_level"": ""AuthPriv"",
 ""auth_protocol"": ""sha"",
 ""auth_key"": ""abcd123456"",
 ""privacy_protocol"": ""des"",
 ""privacy_key"": ""abcd123456"",
 ""engine_id"": ""0x800000d30300000e112245""
}

3. Check whether the alert source is registered successfully.","1. In step 3, the alert source addition is failed with  
Status code : 400 Bad Request
Invalid input received: engine_id is invalid."
Configure Alert Trap Information,Failed alert source configuration without username,SIM_AM_007,"1. SIM project installed
2. Storage device Available 
","1. Call POST /v1/storages with correct credentials body to register a new storage device:
{ 
""username"":""admin"",
""password"": ""password"",
""port"":1234,
""host"" :10.0.0.1,
""vendor"" : “vendor”,
""model"": ""model""
}
2. Call PUT <ip-addr>:<port>/v1/storages/<storage-id>/alert-source to add a new alert source  without username attribute:
{
 ""host"": ""127.0.0.1"",
 ""version"": ""snmpv3"",
 ""security_level"": ""AuthPriv"",
 ""auth_protocol"": ""sha"",
 ""auth_key"": ""abcd123456"",
 ""privacy_protocol"": ""des"",
 ""privacy_key"": ""abcd123456"",
 ""engine_id"": ""800000d30300000e112245""
}

3. Check whether the alert source is registered successfully.","1. In step 3, the alert source addition is failed with  
Status code : 400 Bad Request
Invalid input received: If snmp version is SNMPv3, then username, security_level and engine_id are required."
Configure Alert Trap Information,Failed alert source configuration without security level,SIM_AM_008,"1. SIM project installed
2. Storage device Available 
","1. Call POST /v1/storages with correct credentials body to register a new storage device:
{ 
""username"":""admin"",
""password"": ""password"",
""port"":1234,
""host"" :10.0.0.1,
""vendor"" : “vendor”,
""model"": ""model""
}
2. Call PUT <ip-addr>:<port>/v1/storages/<storage-id>/alert-source to add a new alert source  without security level attribute:
{
 ""host"": ""127.0.0.1"",
 ""version"": ""snmpv3"",
 ""username"": ""test1"",
 ""auth_protocol"": ""sha"",
 ""auth_key"": ""abcd123456"",
 ""privacy_protocol"": ""des"",
 ""privacy_key"": ""abcd123456"",
 ""engine_id"": ""800000d30300000e112245""
}

3. Check whether the alert source is registered successfully.","1. In step 3, the alert source addition is failed with  
Status code : 400 Bad Request
Invalid input received: If snmp version is SNMPv3, then username, security_level and engine_id are required."
Configure Alert Trap Information,Successful alert source configuration with security level NoauthNoPriv,SIM_AM_009,"1. SIM project installed
2. Storage device Available 
","1. Call POST /v1/storages with correct credentials body to register a new storage device:
{ 
""username"":""admin"",
""password"": ""password"",
""port"":1234,
""host"" :10.0.0.1,
""vendor"" : “vendor”,
""model"": ""model""
}
2. Call PUT <ip-addr>:<port>/v1/storages/<storage-id>/alert-source to add a new alert source  with  security level NoAuthNoPriv and without
auth_protocol, auth_key,privacy_protocol,privacy_key
{
 ""host"": ""127.0.0.1"",
 ""version"": ""snmpv3"",
 ""username"": ""test1"",
 ""security_level"": ""NoAuthNoPriv"",
 ""privacy_key"": ""abcd123456"",
 ""engine_id"": ""800000d30300000e112245""
}

3. Check whether the alert source is registered successfully.
4. Obtain alert source information(GET <ip-addr>:<port>/v1/storages/<storage-id>/alert-source) and check whether the information is correct.","1. In step 3, the alert source is successfully added with normal state. The status code of return is 200.
2. In step 4, the basic information about the alert source is obtained successfully and the information is correct. "
Configure Alert Trap Information,Successful alert source configuration with security level NoauthNoPriv with extra parameters,SIM_AM_010,"1. SIM project installed
2. Storage device Available 
","1. Call POST /v1/storages with correct credentials body to register a new storage device:
{ 
""username"":""admin"",
""password"": ""password"",
""port"":1234,
""host"" :10.0.0.1,
""vendor"" : “vendor”,
""model"": ""model""
}
2. Call PUT <ip-addr>:<port>/v1/storages/<storage-id>/alert-source to add a new alert source  with  security level NoAuthNoPriv and with
auth_protocol, auth_key,privacy_protocol,privacy_key
{
 ""host"": ""127.0.0.1"",
 ""version"": ""snmpv3"",
 ""username"": ""test1"",
 ""security_level"": ""NoAuthNoPriv"",
 ""auth_protocol"": ""sha"",
 ""auth_key"": ""abcd123456"",
 ""privacy_protocol"": ""des"",
 ""privacy_key"": ""abcd123456"",
 ""engine_id"": ""800000d30300000e112245""
}

3. Check whether the alert source is registered successfully.
4. Obtain alert source information(GET <ip-addr>:<port>/v1/storages/<storage-id>/alert-source) and check whether the information is correct.","1. In step 3, the alert source is successfully added with normal state. The status code of return is 200.
2. In step 4, the basic information about the alert source is obtained successfully and the information is correct. "
Configure Alert Trap Information,"Failed alert source configuration with security level authNoPriv 
without auth protocol",SIM_AM_011,"1. SIM project installed
2. Storage device Available 
","1. Call POST /v1/storages with correct credentials body to register a new storage device:
{ 
""username"":""admin"",
""password"": ""password"",
""port"":1234,
""host"" :10.0.0.1,
""vendor"" : “vendor”,
""model"": ""model""
}
2. Call PUT <ip-addr>:<port>/v1/storages/<storage-id>/alert-source to add a new alert source  with  security level AuthNoPriv and without 
auth_protocol
{
 ""host"": ""127.0.0.1"",
 ""version"": ""snmpv3"",
 ""username"": ""test1"",
 ""security_level"": ""AuthNoPriv"",
 ""auth_key"": ""abcd123456"",
 ""engine_id"": ""800000d30300000e112245""
}

3. Check whether the alert source is registered successfully.","1. In step 3, the alert source addition is failed with  
Status code : 400 Bad Request
Invalid input received: If snmp version is SNMPv3 and security_level is AuthPriv or AuthNoPriv, auth_protocol and auth_key are required."
