Feature Scenario,Testcase Title,TestcaseId,Testcase Precondition,Testcase steps,Expected Results
writing file to volume and pool is deleted in between,writing file to volume and pool is deleted in between,DOCK_LVM_27,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Pools for the backend must be created",,write operation should fail
Create a volume from snapshot,Create a volume from snapshot,DOCK_LVM_28,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Pools for the backend must be created as per constraint",osdsctl volume snapshot create -n snap1 <snapshot-id>,volume should be created
Create a volume from corrupted snapshot,Create a volume from corrupted snapshot,DOCK_LVM_29,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Pools for the backend must be created as per constraint",osdsctl volume snapshot create -n snap1 <snapshot-id>,volume should not be created
create a voulme from wrong snapshot(may be storage Type different etc.),create a voulme from wrong snapshot,DOCK_LVM_30,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Pools for the backend must be created as per constraint",osdsctl volume snapshot create -n snap1 <snapshot-id>,volume should not be created
create a volume from compressed volume snapshot (cross check the diff),create a volume from compressed volume snapshot (cross check the diff),DOCK_LVM_31,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Pools for the backend must be created as per constraint",,
create a volume from deduplicated volume snapshot (cross check the diff),create a volume from deduplicated volume snapshot,DOCK_LVM_32,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Pools for the backend must be created as per constraint",,
Delete the volume when backend is available/reachable,Delete the volume when backend is available/reachable,DOCK_LVM_33,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Pools for the backend must be created as per constraint",osdsctl volume delete <vol-id>,volume should be deleted
Delete the volume when backend is not available/unreachable,Delete the volume when backend is not available/unreachable,DOCK_LVM_34,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Pools for the backend must be created as per constraint",osdsctl volume delete <vol-id>,volume should not be deleted
"Delete the volume when backend is available but corrupted
","Delete the volume with corrupted backend
",DOCK_LVM_35,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Pools for the backend must be created as per constraint",osdsctl volume delete <vol-id>,volume should not be deleted
"Delete the volume when it is already deleted in system(may be deleted
        manually)
","Delete a deleted volume
",DOCK_LVM_36,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Pools for the backend must be created as per constraint",osdsctl volume delete <vol-id>,volume should not be deleted
" Delete the volume when it is busy (may be it has some file)
"," Delete a busy volume 
",DOCK_LVM_37,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Pools for the backend must be created as per constraint",osdsctl volume delete <vol-id>,volume should not be deleted
Delete the volume when it is mounted to some directory,Delete the mounted volume ,DOCK_LVM_38,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Pools for the backend must be created as per constraint",osdsctl volume delete <vol-id>,volume should not be deleted
Delete the volume when it is attached to other host,Delete the attached volume ,DOCK_LVM_39,"1. Opensds (Hotpot) must be Installed and all processes should be running 
2. Pools for the backend must be created as per constraint",osdsctl volume delete <vol-id>,volume should not be deleted
